"Stand ID","Length [m]"
1,138
2,133
3,134
4,126
5,117
6,121
7,105
8,100
9,91
10,86
11,96
12,89
13,83
14,81
15,82
16,77
17,76
18,76
19,74
20,132
21,141
22,131
23,137
24,133
25,122
26,124
27,120
28,116
29,119
30,119
31,120
32,105
33,103
34,92
35,99
36,88
37,101
38,83
39,100
40,94
41,93
42,82
43,92
44,79
45,97
46,76
47,91
48,71
49,87
50,76
51,101
52,71
53,81
54,64
55,78
56,129
57,143
58,126
59,134
60,131
61,130
62,113
63,127
64,113
65,116
66,105
67,113
68,94
69,106
70,91
71,105
72,86
73,114
74,84
75,97
76,74
77,95
78,81
79,106
80,78
81,94
82,66
83,91
84,63
85,89
86,76
87,95
88,57
89,86
90,124
91,137
92,126
93,133
94,110
95,132
96,107
97,123
98,100
99,114
100,91
101,113
102,89
103,111
104,85
105,113
106,86
107,114
108,73
109,100
110,69
111,105
112,82
113,102
114,66
115,96
116,61
117,94
118,67
119,95
120,62
121,94
122,129
123,142
124,114
125,140
126,110
127,127
128,98
129,119
130,96
131,118
132,90
133,119
134,83
135,115
136,81
137,111
138,77
139,121
140,68
141,110
142,64
143,106
144,70
145,114
146,67
147,108
148,66
149,99
150,69
151,101
152,109
153,136
154,106
155,129
156,102
157,123
158,94
159,127
160,90
161,123
162,87
163,120
164,83
165,120
166,72
167,122
168,70
169,120
170,65
171,111
172,52
173,115
174,51
175,110
176,47
177,107
178,50
179,113
180,108
181,141
182,101
183,139
184,99
185,132
186,91
187,130
188,83
189,131
190,88
191,136
192,72
193,124
194,67
195,119
196,62
197,131
198,60
199,128
200,46
201,114
202,44
203,111
204,49
205,117
206,141
207,100
208,145
209,92
210,137
211,82
212,133
213,77
214,135
215,73
216,129
217,71
218,127
219,58
220,126
221,53
222,129
223,57
224,123
225,43
226,116
227,94
228,140
229,89
230,139
231,85
232,144
233,76
234,138
235,71
236,141
237,65
238,146
239,55
240,134
241,52
242,125
243,57
244,125
245,85
246,149
247,81
248,145
249,76
250,145
251,63
252,147
253,59
254,134
255,57
256,131
257,0
258,315.344
