"Antenna ID","x, m","y, m","z, m"
1,-0.67,-54.63,1.63
2,0.54,-49.33,1.5
3,-2.36,-43.5,1.23
4,1.59,-39.43,1.13
5,-3.19,-31.62,0.93
6,1.87,-26.05,0.72
7,0.03,-16.6,0.45
8,0.38,-10.81,0.25
9,-0.76,-4.4,0.11
10,1.9,0.88,-0.4
11,-0.67,5.67,-0.17
12,-1.33,14.44,-0.52
13,-0.93,19.83,-0.68
14,-0.2,25.22,-0.88
15,1.79,29.77,-1.06
16,2.66,35.47,-1.28
17,-1.42,42.29,-1.4
18,-0.98,47.4,-1.42
19,-2.45,53.44,-1.51
20,7.9,-51.44,1.58
21,-8.85,-53.71,1.57
22,7.09,-46.38,1.44
23,-6.92,-49.12,1.47
24,6.19,-41.31,1.19
25,-3.07,-36.59,1.09
26,4.19,-32.99,0.98
27,-8.18,-32.2,0.96
28,6.96,-26.09,0.79
29,-6.78,-27.39,0.82
30,5.98,-21.09,0.6
31,-3.87,-21.81,0.61
32,4.51,-13.84,0.39
33,-4.94,-14.9,0.42
34,5.39,-8.24,0.19
35,-5.82,-9.96,0.27
36,4.35,-3.51,0.02
37,-7.95,-5.21,0.17
38,7.1,0.98,-0.13
39,-6.8,2.82,-0.1
40,3.36,11.26,-0.44
41,-4.71,8.77,-0.24
42,7,15.43,-0.56
43,-5.88,16.55,-0.51
44,4.06,19.53,-0.64
45,-7.73,21.13,-0.73
46,4.95,25.55,-0.86
47,-5.24,25.5,-0.9
48,7.01,30.14,-1.11
49,-4.71,31.33,-1.15
50,7.62,37.09,-1.35
51,-5.87,38.51,-1.25
52,6.05,41.84,-1.42
53,-6.03,44.37,-1.4
54,5.3,54.73,-1.6
55,-7.5,53.57,-1.62
56,13,-52.04,1.61
57,-12.85,-50.58,1.49
58,12.5,-46.62,1.42
59,-9.77,-45.09,1.32
60,10.25,-38.33,1.21
61,-10.39,-39.96,1.07
62,9.69,-30.15,0.95
63,-14.82,-30.49,0.9
64,11.74,-24.93,0.73
65,-10.13,-23.7,0.69
66,12.88,-18.2,0.55
67,-10.53,-18.69,0.57
68,9.08,-11.85,0.3
69,-11.11,-13.71,0.43
70,10.52,-7.11,0.17
71,-11.55,-8.71,0.25
72,11.1,-2.06,-0.04
73,-12.12,1.26,-0.1
74,6.63,6.79,-0.25
75,-9.57,6.95,-0.24
76,9.28,10.99,-0.47
77,-9.13,12.91,-0.41
78,11.33,17.9,-0.7
79,-11.05,17.52,-0.63
80,10.76,23.13,-0.85
81,-12.77,24.9,-0.92
82,12,30.39,-1.15
83,-10.94,29.41,-1.03
84,13.33,36.03,-1.29
85,-8.66,34.38,-1.18
86,12.01,44.35,-1.55
87,-10.99,41.95,-1.39
88,13.69,51.43,-1.64
89,-15.59,52.33,-1.65
90,18.73,-46.34,1.39
91,-16.14,-46.74,1.39
92,14.55,-42.12,1.28
93,-17.66,-40.97,1.14
94,14.36,-33.78,1.18
95,-16.3,-36.15,1.07
96,16.77,-27.92,0.84
97,-17.47,-26.17,0.8
98,17.42,-20.65,0.61
99,-14.87,-21.9,0.64
100,16.65,-14.89,0.42
101,-15.19,-16.89,0.55
102,13.96,-10.75,0.27
103,-16.19,-11.57,0.43
104,15.71,-5.38,0.09
105,-14.93,-5.03,0.24
106,13.44,2.67,-0.16
107,-16.29,4.02,-0.07
108,13.37,7.67,-0.35
109,-13.52,10.07,-0.51
110,13.79,13.47,-0.54
111,-16.68,15.52,-0.43
112,15.73,22.03,-0.82
113,-16.09,20.98,-0.66
114,16.67,28.59,-1.08
115,-16.44,29.26,-1.01
116,17.96,33.41,-1.3
117,-13.76,33.5,-1.11
118,15.43,40.57,-1.41
119,-15.97,38.32,-1.26
120,17.4,47.88,-1.64
121,-18.96,44.32,-1.47
122,23.55,-44.98,1.27
123,-25.7,-43.34,1.22
124,18.89,-37.03,1.18
125,-22.37,-36.54,1.11
126,20.61,-32.43,0.94
127,-19.67,-32.31,0.99
128,23.43,-25.37,0.73
129,-21.67,-21.14,0.69
130,22.4,-19.86,0.55
131,-19.86,-14.94,0.5
132,21.76,-14.91,0.39
133,-22.71,-10.75,0.4
134,21.94,-7.98,0.18
135,-22.08,-5.28,0.15
136,19.9,-2.69,-0.02
137,-19.65,0.34,0.05
138,19.75,3.62,-0.26
139,-22.37,6.83,-0.14
140,19.5,9.99,-0.42
141,-20.83,11.62,-0.28
142,18.53,15.19,-0.55
143,-20.87,18.75,-0.51
144,20.94,25.29,-0.98
145,-21.59,26.43,-0.76
146,22.72,29.94,-1.18
147,-21.75,31.59,-0.97
148,22.44,35.86,-1.41
149,-20.81,36.64,-1.18
150,24.66,46.16,-1.69
151,-25.04,47.8,-1.44
152,29.06,-38.45,1.11
153,-28.84,-37.45,1.13
154,26.82,-33.13,1.03
155,-27.08,-30.53,0.83
156,28.35,-28.28,0.81
157,-22.83,-26.43,0.8
158,28.13,-23.07,0.63
159,-26.45,-23.01,0.76
160,27.1,-16.73,0.45
161,-24.48,-17.03,0.52
162,25.52,-11.57,0.28
163,-26.55,-7.5,0.28
164,24.92,-2.79,-0.02
165,-28.14,-2.66,0.13
166,25.46,3.75,-0.22
167,-25.56,2.87,0
168,24.28,8.6,-0.39
169,-26.03,12.47,-0.19
170,25.16,14.43,-0.59
171,-26.5,17.41,-0.42
172,29.13,22.24,-0.82
173,-25.15,23.01,-0.66
174,26.93,26.74,-1.09
175,-26.49,28.3,-0.83
176,29.11,31.18,-1.26
177,-27.75,33.7,-1.03
178,29.34,37.97,-1.55
179,-30.18,40.32,-1.25
180,35.19,-39.46,1.12
181,-32.85,-41.84,1.18
182,34.39,-32.19,0.91
183,-33.83,-32.41,0.91
184,32.64,-25.66,0.7
185,-31.41,-25.41,0.74
186,32,-17.77,0.51
187,-29.42,-17.67,0.57
188,30.67,-11.47,0.28
189,-31.55,-11.58,0.47
190,29.1,-5.39,0.04
191,-35.01,-6.97,0.24
192,30.91,-0.68,-0.03
193,-30.6,1.82,0.01
194,29.71,6.43,-0.33
195,-29.19,8.48,-0.1
196,30.87,11.31,-0.49
197,-33.49,13.13,-0.25
198,31.95,16.22,-0.63
199,-32.46,18.06,-0.36
200,33.04,27.1,-1.08
201,-30.6,25.65,-0.69
202,33.35,35.02,-1.38
203,-32.62,32.47,-1
204,33.92,39.96,-1.57
205,-35.12,39.41,-1.22
206,-36.68,-36.47,1.09
207,37.33,-27.26,0.72
208,-39.72,-29.82,0.88
209,35.81,-21.04,0.52
210,-35.52,-22.66,0.71
211,37.04,-14.43,0.36
212,-35.11,-17.61,0.58
213,36.17,-8.45,0.19
214,-37.21,-12.67,0.4
215,38.55,-2.75,-0.01
216,-34.07,-2.05,0.18
217,36.56,3.15,-0.2
218,-35.75,3.78,0.05
219,37.01,10.01,-0.37
220,-36.8,8.84,-0.13
221,38.72,15.91,-0.61
222,-38.94,14.22,-0.3
223,36.74,20.53,-0.18
224,-35.6,22.38,-0.62
225,37.39,30.01,-1.12
226,-35.85,28.46,-0.81
227,43.1,-27.61,0.82
228,-40.56,-22.44,0.71
229,40.88,-22.76,0.59
230,-41.59,-17.38,0.54
231,41.95,-15.76,0.42
232,-44.62,-12.2,0.46
233,40.93,-10.18,0.29
234,-40.82,-8.13,0.31
235,43.98,-2.2,-0.07
236,-39.63,0.27,0.13
237,42.43,3.45,-0.28
238,-41.95,4.71,-0.04
239,41.86,11.13,-0.41
240,-43.2,10.93,-0.18
241,43.55,16.93,-0.68
242,-40.57,20.2,-0.53
243,41.51,23.72,-0.94
244,-39.79,25.17,-0.63
245,46.71,-19.97,0.52
246,-47.73,-16.77,0.59
247,47.38,-12.43,0.28
248,-49.23,-7.21,0.34
249,47.05,-7.39,0.1
250,-48.6,-2.24,0.15
251,49.29,-0.4,-0.16
252,-48.25,2.95,0
253,48.66,5.26,-0.28
254,-47.37,13.74,-0.23
255,48.83,11.21,-0.38
256,-47.09,18.72,-0.49
257,-45.58,-44.47,1.3
258,339.61,15.32,-0.08
